S_ID,Reg,Area,lnAge,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20
Area_AA,Area_A,197700,1.2527629685,-0.003666703,0.0908800657,0.0385301325,0.0465573208,0.0212087588,-0.008792578,-0.009593058,-0.004443755,0.0108675308,0.0007919558,0.010055303,-0.003433892,0.0010123354,-0.000931886,2.97921e-05,0.0019710104,-0.004933719,0.0021850675,0.0038921813,3.481911e-19,0.0585350839,0.1036383445,0.0292658705,0.0145726356,-0.018162622,-0.003946221,0.0074128153,0.0130288556,0.0090361947,0.0023036553,-0.002893879,0.002064943,-0.003096691,0.0050390547,0.0003581023,0.0019681661,0.0030799368,-0.000595564,0.0063444494,-5.75408e-19,0.0208202461,-0.023684223,-0.041774264,-0.032296324,-0.005837472,0.0012312288,0.006901202,-0.003148402,-0.012468506,-7.9886e-05,0.0011098363,-0.004805417,-0.001133462,0.0065210291,0.0001090457,-0.006940201,0.0066777762,0.0019092025,-0.008622754,0.6051205632,-0.098089621,0.031255537,-0.019583887,0.0251048255,0.0227436326,0.0066180734,-0.004971153,-0.004954334,-0.006987095,-4.8752e-05,-0.000276811,-0.000665446,0.0038076125,-0.004892989,0.0026385502,0.0018284076,-0.008629263,0.0028550526,0.0020534539
Area_AA,Area_A,194106,0.9162907319,-0.029474524,0.0802108283,0.0349473495,0.0397047157,0.0176757154,-0.007491171,-0.00529715,-0.008479792,0.0078051852,0.0029655616,0.009145607,-0.004161707,-0.000211626,-0.003449681,0.0001505385,-0.000684733,0.0013057472,0.000296937,-0.00058653,-1.31087e-18,0.0845165163,0.0652606786,0.0471545115,-0.000274681,-0.001626342,-0.009804059,0.0088082277,0.0089338419,0.0155040739,0.0007856566,0.00034167,-0.002849084,-0.000267602,0.0013172597,0.0045680845,0.0007498987,0.0020477907,-0.000196402,0.0003865766,2.387022e-18,0.0237715308,-0.018237272,-0.032819274,-0.026199249,-0.007403566,0.0053099699,0.0053325043,-0.006139699,-0.009862615,0.0009919759,-0.00468844,-0.002237342,0.0009697735,0.0009557525,-0.000378629,-0.001121075,-0.001792584,5.89759e-05,-0.000373958,0.5491653482,-0.081540161,0.0219411801,-0.009356704,0.0147093869,0.0113757218,0.0077280066,-0.005893986,-0.00775887,-0.001378679,-0.001181782,-0.000534822,-0.000812196,0.003630376,-0.001796355,-0.001460758,-0.002331444,0.0026552959,-0.00154831,-0.002225868
Area_AA,Area_A,198904,0.9162907319,-0.036427093,0.0779911285,0.0325810744,0.0435265204,0.0156450135,-0.003815506,-0.009621096,-0.010863126,0.0053663593,0.0037897766,0.006677144,-0.000927559,0.0007094435,-0.00341751,-0.001011526,0.0009267566,2.77874e-05,0.0012554233,0.0010704727,-4.88067e-17,0.0875826103,0.0680501835,0.0472618645,0.0010237997,-0.002885743,-0.013509658,0.0090753198,0.0079435648,0.0141686013,0.0009784729,-9.3445e-05,-0.005194498,-0.000230061,-0.00026491,0.0026941226,0.0011449767,0.000941337,-0.00061176,0.0003386857,8.684133e-17,0.0264935143,-0.02188987,-0.032432091,-0.0300527,-0.009466502,0.0037343055,0.0033333816,-0.004113694,-0.008411478,-0.02534,-0.002405666,-0.0039941,-0.002035439,0.0020906241,0.0001154645,-0.003108408,-0.000443426,0.0036791143,-0.001769326,0.5620211046,-0.081726067,0.0239477989,-0.00922216,0.0187389578,0.0159610607,0.0142918634,-0.004954308,-0.007063707,-0.002148219,-0.001789416,-0.001924039,0.0007912076,0.0036545724,-0.001957836,0.00153685,-0.000876622,-0.001705707,0.0010782592,-0.003153018
Area_AA,Area_A,202700,1.2527629685,-0.024940811,0.0914487933,0.0334264109,0.0478540769,0.0228846037,-0.003995512,-0.006573745,-0.004649373,0.002496997,0.0048255553,0.0092789986,-0.001487791,7.54725e-05,-0.003310128,-0.001029218,-0.000348991,0.0014291007,-0.000407645,0.0002102076,0,0.0479979091,0.0621297996,0.044873356,0.0026400723,-0.09003,-0.015836578,0.0120815233,0.0038983453,0.0188652543,0.0012786393,0.0046985869,-0.006269892,0.0031229567,-0.001284478,0.0044349371,0.0034424528,0.0020627891,-0.001146142,0.0018172414,0,0.0558730299,-0.008312599,-0.026136,-0.027886578,-0.000579871,-0.001122671,0.0056429575,-0.000607156,-0.007309318,0.0017458197,-0.002758354,-0.003585069,-0.000646744,0.0046603006,-0.004037832,-0.000453806,0.0009087546,-0.000100471,-0.002284427,0.5813623758,-0.065214316,0.0218501883,-0.015397919,0.0217782119,0.0179371815,0.0045753456,0.0011205426,-0.005718873,-0.004868191,0.0043293443,-0.003212804,-0.00104597,0.0055002745,-0.001849961,-0.001735998,-2.0857e-05,-0.002084115,-0.001941163,0.0031125128
Area_AA,Area_A,206253,1.2527629685,-0.025980518,0.0775428898,0.0306950838,0.0490049374,0.0211893761,-0.003318626,-0.009998849,-0.010569629,0.0010018583,0.0021007696,0.0076254084,-0.00116396,-0.001339606,-0.003844398,-0.002637673,-0.002429519,-0.001126611,0.0001650051,-0.003144698,1.011935e-16,0.091056848,0.0611969578,0.0615870094,0.0051236346,0.0036852175,-0.01554412,0.012750465,0.0009315328,0.0195953231,0.0050613029,0.0049258399,-0.004731581,0.0029819955,-0.003018633,0.0010984817,0.0025910625,0.0005584337,0.0002633136,0.0011777913,-1.73513e-16,0.0397007482,-0.011471474,-0.028329178,-0.031752586,-0.001300713,0.0018330948,0.0017950686,0.0033239678,-0.008136532,-0.000197404,-0.002339808,-0.003976445,-0.001826441,0.0072881447,-0.00456251,-0.00163306,0.0032090749,-0.004169303,-0.00133384,0.5832023855,-0.074777854,0.0239003296,-0.018062196,0.0195492786,0.0224516343,0.0020287383,-0.003648775,-0.003141861,-0.004456914,-0.001972394,-0.000813309,0.0001421085,0.006375888,-0.000552033,-0.003689939,-0.000481024,0.0057470666,-0.005530745,-0.003462359
Area_AA,Area_A,201749,1.2527629685,-0.008035167,0.0875366872,0.0373690985,0.0446574801,0.0235903186,-0.002508117,-0.002081193,-0.009919728,0.0078798289,0.0071120467,0.0076516362,-0.000943196,0.0003624425,-0.004138012,0.0023699626,0.0024791864,0.001616876,0.0024107885,-0.00141825,-1.22831e-18,0.0261813587,0.0711739774,0.0320608129,-0.004865054,-0.001330272,-0.014428948,0.0119680035,0.0071650175,0.0152455706,-0.003071216,0.0051143997,-0.010452437,0.0059280423,-0.003468497,0.0053151747,0.0018342879,0.0013441458,-0.001309123,0.0015828099,2.169084e-18,0.0623373146,-0.015422662,-0.01823394,-0.02753328,-0.009852707,0.0069269561,0.0002767503,-0.005286291,0.0002169284,-0.004635818,-0.005885782,7.24395e-05,-0.002635442,0.0048250429,-0.004006235,-0.002296865,0.002197985,-0.002754593,-0.001613218,0.5662816786,-0.066856914,0.0254724941,-0.012701624,0.0222799784,0.0176378883,0.0076881208,0.0005158058,-0.004571587,-0.00154931,-0.000482052,-0.004318111,0.0040368161,0.0033645975,-0.005834202,0.0005546885,-0.001328242,0.0016499138,0.001186234,-0.002422867
Area_AA,Area_A,205882,1.2527629685,-0.001412903,0.0805764802,0.0403663509,0.0557788251,0.013384,0.0031640973,-0.009823226,0.0007391927,0.0046159763,0.0102248512,-0.000764131,0.0075904552,-0.005815914,0.0024084321,0.0006336354,0.0015522747,0.0025333216,0.0014234142,0.0017802112,-1.43141e-16,0.0103407013,0.0767886796,0.015462817,-0.002140903,-0.004060923,-0.01768497,0.0146541909,0.0030985145,0.0156532489,-0.001436441,-0.002741169,-0.007128031,0.0034240352,-0.000969881,0.0034718478,0.000361311,-0.002241273,0.0009403047,-0.002601272,2.488646e-16,0.0775230592,-0.026861061,-0.012479911,-0.033274127,-0.004911285,0.0069639476,0.003158039,0.000402354,-0.010727358,-0.004613507,0.00385168,-0.00710872,-0.002590785,0.0076385451,-0.005680997,-0.001422502,-0.000533761,0.0006065083,-0.001187137,0.5751756669,-0.062442453,0.0268741066,-0.006630322,0.0250237439,0.0182996966,0.0143806008,-0.003109581,-0.004941896,0.0032746142,-0.005384508,-0.001267724,0.0078876493,-0.003534157,0.001630656,-0.002742632,0.0012086828,0.0016231887,-0.003213243,0.0026949487
Area_AA,Area_A,196600,0.9162907319,0.0039274726,0.0813763747,0.0452101701,0.0426172429,0.0218402245,0.0006197061,-0.010982672,-0.003498048,-9.7418e-05,0.0123757007,0.0031949066,0.0063831671,-0.008488847,0.0022641065,-0.002092385,0.0022196888,0.0005970773,0.0046613863,-0.001096255,3.131206e-19,0.0219954846,0.0757751553,0.0363340246,0.0013962272,0.0018157488,-0.020477877,0.0132805866,-0.001431715,0.0219788433,-0.006738895,0.0054706794,-0.011091953,0.0016909018,-0.004841748,0.0062508322,0.0022769252,-0.003186998,0.0015366362,-0.001352727,-6.07975e-19,0.0640052543,-0.016083766,-0.019544856,-0.033611328,-0.014337259,0.0030670952,0.0001607832,-0.002697231,-0.008794235,-0.003394181,-0.00564169,-0.003671714,-0.001512125,0.007235811,-0.007502306,-0.001483812,0.0045284747,-0.00035587,0.0005897889,0.5150223358,-0.046319843,0.0206997269,0.0024949038,0.0125115836,0.0175705145,0.0133281154,0.0030523513,-0.004124083,-0.001688582,0.0013573573,-0.000678001,0.0027329546,-0.001358335,0.0038427607,3.50349e-05,-0.003748496,0.002512167,0.001405719,-0.001587011
Area_AA,Area_A,202844,0.9162907319,-0.00860827,0.0880847227,0.0351776237,0.0444521629,0.0017545285,-0.00600097,-0.0173763,-0.006644575,0.0011230682,0.01745032,-0.006295048,0.0086431455,-0.008228497,-0.000490527,0.0005632635,0.005590931,0.0026395641,0.0023940326,0.0004480935,8.422447e-17,-0.006279289,0.0934384283,0.0337289935,-4.4119e-05,0.0007905059,-0.019505547,0.0241690076,0.0093256182,0.0160720247,0.0014191129,0.0034740297,-0.007584948,0.007315999,0.002895498,0.0031191807,0.0048946721,-0.000490615,0.001430048,-0.001344187,-1.5717e-16,0.0637428531,-0.039370091,-0.023363572,-0.032199787,-0.010582313,0.0093641095,-0.000677329,-0.004412877,-0.000580492,-0.005395912,-0.000399585,0.0033497553,-0.006205323,0.0019038937,-0.000390651,-0.005095779,-0.002714019,-0.002572617,-0.00314613,0.5358802459,-0.068282872,0.0283871728,0.0013325684,0.0244478372,0.0211972818,0.0087508735,0.002294074,-0.008810214,-0.000105019,0.0023595344,-0.008570434,0.0035227793,-0.005089284,-0.004178662,-0.004639005,0.0027052924,-0.000947888,0.001426914,-0.001983628
Area_AA,Area_A,189356,1.2527629685,0.0284263946,0.1019603983,0.0124053102,0.0382636016,0.0300496299,-0.020619955,8.6288e-05,0.0003468336,0.0039074751,0.0008440036,0.0111073118,-0.005358381,-0.004736191,0.0012782697,0.000113203,-0.000672585,0.0036467746,-0.000283861,-0.001326053,-6.17126e-19,0.1119317625,0.0150956387,0.0368559828,0.0190381181,-0.016390019,-0.006976516,0.011506528,0.0122516939,-0.004047557,0.0133310793,-0.009839737,-0.002291477,-0.001246392,0.0071940911,-0.005439098,0.0040591166,-0.00045591,-0.003615535,-0.000531522,1.117597e-18,0.0092626358,-0.005300828,-0.03843037,-0.022364717,-0.013637496,-0.000160544,0.0045711795,0.0003836479,-0.010405687,-0.005811364,0.0001850501,0.0008445383,0.0009962253,-0.002569699,0.0041336392,-0.00420507,-0.001250225,0.0027224538,0.0002284449,0.5521898389,-0.081055101,0.0281254557,-0.005782783,0.0156288445,0.0119545686,0.012436052,0.0027038551,-0.010437495,-0.004749421,0.0036601688,0.0044179054,0.0002106322,0.0028979356,-0.001921885,-0.001629076,-0.000313899,-0.003683995,0.0036093417,0.0021764263
